#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord      ---- domain strat stats ----- 
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc   q-value local FDR  FDR|lFDR description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- --------- --------- --------- ---------------------
Cytochrome_B         PF00033.19   189 mal_mito_3           -            376   3.1e-61  192.6  25.3   1   1   3.1e-61   3.1e-61  192.6  25.3     2   188    14   194    13   195 0.96   1.7e-57         1         1 Cytochrome b/b6/petB
Cytochrom_B_C        PF00032.17   103 mal_mito_3           -            376   1.4e-23   69.4   6.7   1   1   1.4e-23   1.4e-23   69.4   6.7     3   103   250   353   248   353 0.89   7.6e-20         1         1 Cytochrome b(C-terminal)/b6/petD
COX3                 PF00510.18   258 mal_mito_1           -            250   5.4e-23   68.2  34.0   1   1   1.3e-22   1.3e-22   67.0  32.2    71   254    57   248    49   249 0.82   7.1e-19         1         1 Cytochrome c oxidase subunit III
COX1                 PF00115.20   432 mal_mito_2           -            478  6.4e-118  380.3  53.8   1   1  7.3e-118  7.3e-118  380.1  53.8     2   432    19   469    18   469 0.95    4e-114         1         1 Cytochrome C and Quinol oxidase polypeptide I
DDHD                 PF02862.17   223 PF3D7_0523800        -            684   1.3e-05   11.6   3.2   1   1   2.2e-05   2.2e-05   10.8   3.2    88   186   112   204    20   261 0.60      0.02     0.084    0.0027 DDHD domain
Nramp                PF01566.18   358 PF3D7_0523800        -            684   1.3e-84  270.2  16.1   1   1   1.3e-84   1.3e-84  270.2  16.1    12   357   274   618   272   619 0.97   7.1e-81         1         1 Natural resistance-associated macrophage protein
GDA1_CD39            PF01150.17   423 PF3D7_1322000        -            565   1.5e-33  102.1  14.6   1   1     2e-31     2e-31   95.1  14.6    11   410    51   543    46   559 0.82   5.4e-28   7.1e-13   8.2e-15 GDA1/CD39 (nucleoside phosphatase) family
zf-RING_11           PF17123.5     29 PF3D7_0916400        -           2519   5.8e-06   12.3   2.9   1   1   8.4e-06   8.4e-06   11.8   0.3    10    29  2488  2507  2484  2507 0.83     0.046         1         1 RING-like zinc finger
PHM7_cyt             PF14703.6    176 PF3D7_1250200        -           1039   2.2e-12   33.7   3.9   1   1   2.2e-12   2.2e-12   33.7   3.9    63   176   583   684   570   684 0.80   1.2e-08         1         1 Cytosolic domain of 10TM putative phosphate transporter
RSN1_7TM             PF02714.15   274 PF3D7_1250200        -           1039     4e-33  101.0  29.1   1   1     4e-33     4e-33  101.0  29.1     7   274   698   960   694   960 0.89   2.2e-29         1         1 Calcium-dependent channel, 7TM region, putative phosphate
VPS53_C              PF16854.5    203 PF3D7_0923700        -            280   8.6e-06   11.9   0.2   1   1   8.6e-06   8.6e-06   11.9   0.2    66   108   107   147   100   158 0.83     0.047         1         1 Vacuolar protein sorting-associated protein 53 C-terminus
DUF2870              PF11069.8     97 PF3D7_0923700        -            280   5.3e-43  131.7   1.5   1   1   1.2e-42   1.2e-42  130.6   1.5     2    94   180   272   179   276 0.97   6.5e-39         1         1 Protein of unknown function (DUF2870)
S1-P1_nuclease       PF02265.16   253 PF3D7_1412000        -            320   9.9e-38  116.5   0.2   1   1   1.1e-37   1.1e-37  116.2   0.2     1   252    19   313    19   314 0.84     3e-34   1.6e-22   1.1e-24 S1/P1 Nuclease
Ank_2                PF12796.7     83 PF3D7_0628100        -          10287   2.4e-21   62.5   0.3   1   2   2.4e-13   2.4e-13   36.8   0.0    25    83  7809  7877  7790  7877 0.80   8.2e-11   5.4e-09   4.6e-11 Ankyrin repeats (3 copies)
Ank                  PF00023.30    32 PF3D7_0628100        -          10287   7.5e-17   47.5   0.0   3   3     3e-06     3e-06   14.0   0.1     2    32  7880  7920  7879  7920 0.72     0.016         1         1 Ankyrin repeat
SLBP_RNA_bind        PF15247.6     70 PF3D7_0519000        -            293   7.2e-26   76.5   5.4   1   1   2.4e-25   2.4e-25   74.8   5.4     3    69    21    91    19    92 0.94   1.3e-21   6.3e-21   2.7e-23 Histone RNA hairpin-binding protein RNA-binding domain
DUF5051              PF16473.5    166 PF3D7_0519000        -            293   1.4e-05   11.3   1.1   1   1     7e-05     7e-05    9.0   0.3    72   153    70   142    54   154 0.74      0.38         1         1 3' exoribonuclease, RNase T-like
NRD1_2               PF01995.16   238 PF3D7_0519000        -            293   1.2e-05   10.8   0.5   1   1     2e-05     2e-05   10.1   0.5    17    75   168   231   156   236 0.79      0.11         1         1 NrpR regulatory domains NRD1 and 2
Formyl_trans_C       PF02911.18   100 PF3D7_0519000        -            293   3.8e-05   10.2   0.0   1   1   7.1e-05   7.1e-05    9.3   0.0    36    99   211   277   194   278 0.79      0.19         1         1 Formyl transferase, C-terminal domain
DLIC                 PF05783.11   471 PF3D7_0906400        -            837   6.7e-34  103.5  13.7   1   2   2.5e-12   2.5e-12   32.4   1.8     2   159   335   511   333   543 0.73   6.8e-09         1         1 Dynein light intermediate chain (DLIC)
DLIC                 PF05783.11   471 PF3D7_0906400        -            837   6.7e-34  103.5  13.7   2   2   1.5e-25   1.5e-25   75.9   4.5   178   418   591   823   549   836 0.69   8.2e-22   1.4e-08   1.6e-10 Dynein light intermediate chain (DLIC)
Olfactory_mark       PF06554.12   151 PF3D7_0602700        -            466   2.3e-05   10.4   0.0   1   1   5.6e-05   5.6e-05    9.1   0.0    56   111   379   434   318   443 0.74       0.3         1         1 Olfactory marker protein
SRP68                PF16969.5    559 PF3D7_0621900        -            776     8e-16   44.1  19.3   1   1   3.8e-14   3.8e-14   38.6  19.3     8   480   111   703   104   740 0.75   2.1e-10         1         1 RNA-binding signal recognition particle 68
Cytochrom_D1         PF02239.16   368 PF3D7_0801500        -            549   3.8e-06   11.7   0.0   1   1   6.9e-06   6.9e-06   10.8   0.0    69   112    47    90    28    96 0.83     0.038         1         1 Cytochrome D1 heme domain
BBS2_N               PF14781.6    105 PF3D7_0801500        -            549   7.1e-07   15.4   1.7   1   1   1.1e-05   1.1e-05   11.6   0.0    42    95   210   262   196   271 0.85      0.06         1         1 Ciliary BBSome complex subunit 2, N-terminal
OATP                 PF03137.20   546 PF3D7_0801500        -            549     6e-05    7.5   1.8   1   1   9.7e-05   9.7e-05    6.8   1.8   397   467   289   378   257   392 0.62     0.088         1         1 Organic Anion Transporter Polypeptide (OATP) family
PIN_5                PF08745.11   206 PF3D7_0801500        -            549   7.7e-06   11.6   0.3   1   1   1.4e-05   1.4e-05   10.8   0.3    45   109   450   513   427   536 0.81     0.076         1         1 PINc domain ribonuclease
DUF1387              PF07139.11   312 PF3D7_0719400        -           1731   3.5e-10   26.1  12.0   1   1   3.5e-10   3.5e-10   26.1  12.0     3   179   791   972   789   978 0.63   1.9e-06         1         1 Protein of unknown function (DUF1387)
